Metric,PointEstimate,CI95_Lower,CI95_Upper,BootstrapIterations,ValidIterations,Seed
ROC-AUC,0.7228954081632654,0.6720453967629675,0.7722226097743071,2000,2000,42
PR-AUC,0.6564259703008886,0.580235915452224,0.7342642578706494,2000,2000,42
Sensitivity,0.6785714285714286,0.6073249729339589,0.7456671891838934,2000,2000,42
Specificity,0.625,0.5608695652173913,0.6875065928270042,2000,2000,42
Balanced Accuracy,0.6517857142857143,0.602427556268968,0.7007423645508494,2000,2000,42
