Model,Accuracy,Precision,Sensitivity,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC,Brier,TN,FP,FN,TP,Selection Note
Custom CNN,0.5688775510204082,0.4967741935483871,0.4583333333333333,0.6517857142857143,0.47678018575851394,0.5550595238095238,0.6152742346938777,0.5206903110226634,0.2477644383907318,146,78,91,77,Final baseline comparison
ResNet50,0.5459183673469388,0.4801587301587302,0.7202380952380952,0.41517857142857145,0.5761904761904761,0.5677083333333334,0.6278167517006804,0.5844393451318136,0.23610834777355194,93,131,47,121,Final baseline comparison
EfficientNet-B0,0.6479591836734694,0.5757575757575758,0.6785714285714286,0.625,0.6229508196721312,0.6517857142857143,0.7228954081632654,0.6564259703008886,0.22968202829360962,140,84,54,114,Retained candidate selected validation-first
