Representation,Validation_ROC_AUC,Validation_PR_AUC,Validation_Sensitivity,Validation_Specificity,Validation_Balanced_Accuracy,Validation_Brier,Test_ROC_AUC,Test_PR_AUC,Test_Sensitivity,Test_Specificity,Test_Balanced_Accuracy,Test_Brier,Test_FN,Decision
EfficientNet-B0 Full,0.704375,0.6152186887242929,0.68125,0.6347826086956522,0.6580163043478261,0.23273561894893646,0.7228954081632654,0.6564259703008886,0.6785714285714286,0.625,0.6517857142857143,0.22968202829360962,54,ROI-C: reject ROI; validation discrimination and sensitivity decreased
EfficientNet-B0 ROI,0.6788858695652173,0.6060032921431585,0.5125,0.7739130434782608,0.6432065217391304,0.23510591685771942,0.7240114795918368,0.6630475474992791,0.5535714285714286,0.7857142857142857,0.6696428571428572,0.22994302213191986,75,ROI-C: reject ROI; validation discrimination and sensitivity decreased
