epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.5306696891784668,0.5488561391830444,0.18978255987167358,0.4475524425506592,0.5161290168762207,0.5923076868057251,0.6797962188720703,0.17014342546463013,0.5019454956054688,0.8062499761581421,9.999999747378752e-05
2,0.579628586769104,0.6066304445266724,0.17823006212711334,0.49822065234184265,0.5645161271095276,0.6153846383094788,0.6838451027870178,0.1681973934173584,0.5206611752510071,0.7875000238418579,9.999999747378752e-05
3,0.5880697965621948,0.6208194494247437,0.17354144155979156,0.5070093274116516,0.5833333134651184,0.5871794819831848,0.6916847825050354,0.16329696774482727,0.4977973699569702,0.706250011920929,9.999999747378752e-05
4,0.5970737338066101,0.6434535384178162,0.1689589023590088,0.5170316100120544,0.5712365508079529,0.6512820720672607,0.6929484009742737,0.15727166831493378,0.5722891688346863,0.59375,9.999999747378752e-05
5,0.6375914216041565,0.6779664754867554,0.16302108764648438,0.5631313323974609,0.5994623899459839,0.6025640964508057,0.693070650100708,0.1632584035396576,0.5109170079231262,0.731249988079071,9.999999747378752e-05
6,0.6297129988670349,0.685714840888977,0.16044171154499054,0.5521844625473022,0.6115591526031494,0.620512843132019,0.7055027484893799,0.16035066545009613,0.5272727012634277,0.7250000238418579,9.999999747378752e-05
7,0.6257737874984741,0.6895610094070435,0.16053108870983124,0.5458768606185913,0.6317204236984253,0.6333333253860474,0.7047826051712036,0.15810039639472961,0.5418719053268433,0.6875,4.999999873689376e-05
8,0.6555992960929871,0.7138241529464722,0.15672332048416138,0.5793269276618958,0.647849440574646,0.6307692527770996,0.7003804445266724,0.15931758284568787,0.538095235824585,0.706250011920929,4.999999873689376e-05
9,0.6364659667015076,0.6967511773109436,0.15894757211208344,0.5572429895401001,0.6411290168762207,0.6358974575996399,0.705366849899292,0.15797679126262665,0.5441176295280457,0.6937500238418579,2.499999936844688e-05
10,0.6404051780700684,0.7064850330352783,0.15722621977329254,0.5621301531791687,0.6384408473968506,0.6410256624221802,0.7013994455337524,0.15815839171409607,0.5490196347236633,0.699999988079071,2.499999936844688e-05
11,0.65278559923172,0.7092649936676025,0.15632317960262299,0.5747938752174377,0.6559139490127563,0.6333333253860474,0.7044022083282471,0.15847700834274292,0.540669858455658,0.706250011920929,1.249999968422344e-05
