model,calibration,threshold,accuracy,precision,sensitivity,specificity,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,tn,fp,fn,tp
Logistic Regression,raw,0.36,0.9736842105263158,0.975609756097561,0.9523809523809523,0.9861111111111112,0.963855421686747,0.9692460317460317,0.9953703703703705,0.9932171487049537,0.022223185046050243,0.07877798138472515,71,1,2,40
Random Forest,platt,0.44,0.9649122807017544,0.975,0.9285714285714286,0.9861111111111112,0.9512195121951219,0.9573412698412699,0.9983465608465608,0.9972296091127629,0.024185710565932165,0.08490564506934348,71,1,3,39
XGBoost,raw,0.6,0.9649122807017544,1.0,0.9047619047619048,1.0,0.95,0.9523809523809523,0.9923941798941799,0.9915750915750916,0.020623069256544113,0.0877466373525713,72,0,4,38
