Split,Brier,LogLoss,ECE_10bin,CalibrationIntercept,CalibrationSlope
Validation,0.23273561609017307,0.6580348555235402,0.1139413418678137,-0.5405231855808523,3.2288930983428643
Test,0.22968201648548214,0.6515382620235661,0.09702433166759358,-0.47190616511575295,3.3014480007318925
