Method,Validation_Brier,Validation_LogLoss,Validation_ECE_10bin,Test_Brier,Test_LogLoss,Test_ECE_10bin
Raw,0.23273561609017307,0.6580348555235402,0.1139413418678137,0.22968201648548214,0.6515382620235661,0.09702433166759358
Platt,0.21184852416480707,0.6085768529896337,0.022126176245054915,0.208762152150943,0.6024092740995982,0.046994767185167104
Isotonic,0.21753691688000792,0.653787618523876,0.042358633742254986,0.2091668955926721,0.65493309553893,0.049078868053879995
