model,calibration,brier_score,log_loss,ece_10bin
Logistic Regression,raw,0.02003377995564075,0.07553425211689468,0.01701686597828258
Logistic Regression,platt,0.021309429564764473,0.07975272240504086,0.01241867858326058
Random Forest,raw,0.03307466470684705,0.12808322438357397,0.038007796173909175
Random Forest,platt,0.03052947807779291,0.11410135805896329,0.014007533931421401
XGBoost,raw,0.022508332467019655,0.08489699235785426,0.018493910243153916
XGBoost,platt,0.024531251198634647,0.10116673979627568,0.009771428547937907
