epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.5289814472198486,0.5434434413909912,0.3436533510684967,0.44804468750953674,0.5389785170555115,0.5564102530479431,0.6535733938217163,0.18253394961357117,0.4741035997867584,0.7437499761581421,9.999999747378752e-05
2,0.5588069558143616,0.5842675566673279,0.2508828043937683,0.4780219793319702,0.5846773982048035,0.6128205060958862,0.6575679183006287,0.16801676154136658,0.5243242979049683,0.606249988079071,9.999999747378752e-05
3,0.598199188709259,0.6323912143707275,0.2070138156414032,0.5176886916160583,0.5900537371635437,0.5743589997291565,0.6328668594360352,0.16843722760677338,0.48351648449897766,0.550000011920929,9.999999747378752e-05
4,0.5830050706863403,0.6359556317329407,0.19273605942726135,0.5017751455307007,0.5698924660682678,0.6256410479545593,0.6491032838821411,0.16842211782932281,0.5346534848213196,0.675000011920929,9.999999747378752e-05
5,0.6066403985023499,0.6504621505737305,0.1819761097431183,0.5263774991035461,0.6034946441650391,0.6153846383094788,0.6532744765281677,0.1649387776851654,0.5280898809432983,0.5874999761581421,4.999999873689376e-05
6,0.6353404521942139,0.6713657975196838,0.1743723750114441,0.557831346988678,0.6223118305206299,0.620512843132019,0.6546603441238403,0.16417333483695984,0.5361445546150208,0.5562499761581421,4.999999873689376e-05
7,0.6105796098709106,0.6738867163658142,0.1692969799041748,0.5303738117218018,0.6102150678634644,0.6358974575996399,0.6683560013771057,0.1626363843679428,0.5548780560493469,0.5687500238418579,4.999999873689376e-05
8,0.6117051243782043,0.6618094444274902,0.17095741629600525,0.5314685106277466,0.6129032373428345,0.5948718190193176,0.6469700336456299,0.16567042469978333,0.5055555701255798,0.5687500238418579,4.999999873689376e-05
9,0.624085545539856,0.6745984554290771,0.16893120110034943,0.5446009635925293,0.6236559152603149,0.6128205060958862,0.6556521654129028,0.16467684507369995,0.5248618721961975,0.59375,4.999999873689376e-05
10,0.6409679055213928,0.7023701667785645,0.16025692224502563,0.5599547624588013,0.6653226017951965,0.6333333253860474,0.6593886017799377,0.1636209785938263,0.5497075915336609,0.5874999761581421,2.499999936844688e-05
11,0.6432189345359802,0.7012492418289185,0.15998613834381104,0.5623582601547241,0.6666666865348816,0.607692301273346,0.6571738719940186,0.1649327576160431,0.5185185074806213,0.612500011920929,2.499999936844688e-05
12,0.6449071764945984,0.7064648866653442,0.16172868013381958,0.5641316771507263,0.6680107712745667,0.6179487109184265,0.6561548709869385,0.16367417573928833,0.5314285755157471,0.581250011920929,1.249999968422344e-05
