sample_index,outcome,Feature,SHAP,AbsSHAP,Rank
196,TP,worst texture,1.9522657767729494,1.9522657767729494,1
196,TP,radius error,0.8371813577965406,0.8371813577965406,2
196,TP,concave points error,0.7842463307088358,0.7842463307088358,3
196,TP,perimeter error,0.6751618705919961,0.6751618705919961,4
196,TP,mean smoothness,0.6200981471952517,0.6200981471952517,5
196,TP,worst smoothness,0.6178186142790518,0.6178186142790518,6
196,TP,worst concave points,0.5697165454229464,0.5697165454229464,7
196,TP,texture error,-0.566362078141449,0.566362078141449,8
196,TP,smoothness error,0.5023651189067806,0.5023651189067806,9
196,TP,worst concavity,0.4768916636958814,0.4768916636958814,10
196,TP,compactness error,-0.4523801058263767,0.4523801058263767,11
196,TP,mean concavity,0.43465477121022783,0.43465477121022783,12
196,TP,mean concave points,0.3914297351552495,0.3914297351552495,13
196,TP,mean texture,0.3040964459613597,0.3040964459613597,14
196,TP,symmetry error,-0.28838061702264456,0.28838061702264456,15
196,TP,worst symmetry,0.2790670788807535,0.2790670788807535,16
196,TP,mean compactness,-0.2514262555912787,0.2514262555912787,17
196,TP,worst area,-0.17460343805530065,0.17460343805530065,18
196,TP,mean area,-0.09491198836462114,0.09491198836462114,19
196,TP,fractal dimension error,-0.08883177714693552,0.08883177714693552,20
196,TP,area error,0.08131636665299581,0.08131636665299581,21
196,TP,worst compactness,-0.06749096472440022,0.06749096472440022,22
196,TP,worst perimeter,0.05713928125169987,0.05713928125169987,23
196,TP,concavity error,-0.05186842791177136,0.05186842791177136,24
196,TP,mean radius,-0.04559730723448561,0.04559730723448561,25
196,TP,mean fractal dimension,-0.04044273099721507,0.04044273099721507,26
196,TP,worst fractal dimension,0.03262928304518266,0.03262928304518266,27
196,TP,mean perimeter,-0.029249317916152415,0.029249317916152415,28
196,TP,worst radius,-0.028499193937983607,0.028499193937983607,29
196,TP,mean symmetry,-0.003744108222853801,0.003744108222853801,30
325,TN,worst texture,-1.1609995992509126,1.1609995992509126,1
325,TN,radius error,-1.0075892838482563,1.0075892838482563,2
325,TN,compactness error,0.8448746329079194,0.8448746329079194,3
325,TN,worst concavity,-0.7577617174149904,0.7577617174149904,4
325,TN,mean concave points,-0.678545261628783,0.678545261628783,5
325,TN,worst concave points,-0.658953927939097,0.658953927939097,6
325,TN,mean concavity,-0.5532681933690553,0.5532681933690553,7
325,TN,area error,-0.534564048150797,0.534564048150797,8
325,TN,worst area,-0.5342676477466038,0.5342676477466038,9
325,TN,perimeter error,-0.5317425944872232,0.5317425944872232,10
325,TN,concave points error,-0.5297437686497244,0.5297437686497244,11
325,TN,worst radius,-0.5208147782733987,0.5208147782733987,12
325,TN,fractal dimension error,0.4766543843219243,0.4766543843219243,13
325,TN,worst perimeter,-0.41919473427939924,0.41919473427939924,14
325,TN,worst symmetry,-0.392929327048698,0.392929327048698,15
