epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.4988826811313629,0.5048454999923706,0.0010000000474974513,1.0060725212097168,0.582245409488678,0.5415078401565552,0.680895984172821
1,0.5145251154899597,0.5245340466499329,0.0010000000474974513,0.9122791290283203,0.582245409488678,0.5025224089622498,0.6820789575576782
2,0.5189943909645081,0.5292410254478455,0.0010000000474974513,0.8476410508155823,0.4934725761413574,0.4863649010658264,0.8262482285499573
3,0.5513966679573059,0.5669916868209839,0.0010000000474974513,0.7869807481765747,0.48563969135284424,0.5126821994781494,0.7914834022521973
4,0.5391061305999756,0.5474826693534851,0.0010000000474974513,0.7764908075332642,0.5274151563644409,0.5560117959976196,0.6834858059883118
5,0.5642458200454712,0.5703832507133484,0.0010000000474974513,0.7455329895019531,0.45430809259414673,0.557693362236023,0.7362262010574341
6,0.5340782403945923,0.5432621836662292,0.0005000000237487257,0.7501725554466248,0.5639686584472656,0.57767653465271,0.7018494009971619
7,0.5340782403945923,0.5470154285430908,0.0005000000237487257,0.7372552752494812,0.4673629105091095,0.5557875633239746,0.7606267333030701
8,0.5575419068336487,0.5757557153701782,0.0005000000237487257,0.7155964374542236,0.4569190740585327,0.5675868988037109,0.8085601925849915
9,0.5592178702354431,0.5795730352401733,0.0005000000237487257,0.7104867696762085,0.6057441234588623,0.6175028085708618,0.6601248383522034
10,0.556983232498169,0.5837993621826172,0.0005000000237487257,0.7028168439865112,0.5535247921943665,0.5500279664993286,0.7383192777633667
11,0.5575419068336487,0.5747929215431213,0.0005000000237487257,0.7065135836601257,0.5979112386703491,0.6294142007827759,0.6541663408279419
12,0.5642458200454712,0.5922037959098816,0.0005000000237487257,0.6974323391914368,0.4569190740585327,0.531025767326355,0.7727254629135132
13,0.5659217834472656,0.5821743607521057,0.0005000000237487257,0.6972100734710693,0.58746737241745,0.6154568195343018,0.6619656085968018
14,0.5547485947608948,0.5688666105270386,0.0005000000237487257,0.6992477774620056,0.45430809259414673,0.5398682355880737,0.7247482538223267
15,0.5575419068336487,0.5825231075286865,0.0005000000237487257,0.6932955980300903,0.5430809259414673,0.6147981882095337,0.6929365396499634
16,0.5687150955200195,0.6003237366676331,0.0005000000237487257,0.6823102235794067,0.5430809259414673,0.5461462736129761,0.7888590693473816
17,0.5810055732727051,0.6047840118408203,0.0002500000118743628,0.6815105080604553,0.5326370596885681,0.6094030141830444,0.7228767275810242
18,0.5782122611999512,0.6085577011108398,0.0002500000118743628,0.6801926493644714,0.5744125247001648,0.5448991060256958,0.8615937232971191
