Model,Threshold,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,ROC-AUC,PR-AUC
EfficientNet-B0 (baseline),0.4985194802284241,0.41968911917098445,1.0,0.0,0.41968911917098445,0.0,0.5912408759124088,0.5,0.41968911917098445
Custom CNN (baseline),0.3125753104686737,0.47668393782383417,0.9567901234567902,0.12946428571428573,0.44285714285714284,0.8055555555555556,0.60546875,0.6046075837742505,0.5333272215533666
Custom CNN v2 (ROI-tuned),0.39966920018196106,0.5051813471502591,0.9506172839506173,0.18303571428571427,0.456973293768546,0.8367346938775511,0.6172344689378757,0.5836364638447972,0.4545511824562857
ResNet50 (baseline),0.40926921367645264,0.4585492227979275,0.9567901234567902,0.09821428571428571,0.4341736694677871,0.7586206896551724,0.5973025048169557,0.5467372134038802,0.4423549044385088
