epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.4949720799922943,0.5184948444366455,9.999999747378752e-05,0.9078042507171631,0.41775456070899963,0.5,5.580679893493652
1,0.5106145143508911,0.5165910720825195,9.999999747378752e-05,0.8773462772369385,0.41775456070899963,0.5,2.9038710594177246
2,0.5256983041763306,0.519403874874115,9.999999747378752e-05,0.8401800394058228,0.41775456070899963,0.4896300137042999,1.1053413152694702
3,0.4910614490509033,0.49869486689567566,9.999999747378752e-05,0.8650645017623901,0.41775456070899963,0.49936938285827637,1.0316193103790283
4,0.5083798766136169,0.5111538171768188,9.999999747378752e-05,0.8466895222663879,0.4229764938354492,0.49992993474006653,0.7770170569419861
5,0.48994413018226624,0.49655964970588684,9.999999747378752e-05,0.8331248760223389,0.5143603086471558,0.5158913135528564,0.6929342150688171
6,0.5229050517082214,0.536516010761261,9.999999747378752e-05,0.7924439907073975,0.48302870988845825,0.5113929510116577,0.7236574292182922
7,0.5201117396354675,0.5129609107971191,9.999999747378752e-05,0.807902455329895,0.5613576769828796,0.5394618511199951,0.744870662689209
8,0.5173184275627136,0.5193345546722412,9.999999747378752e-05,0.8116185665130615,0.5483028888702393,0.546076238155365,0.7041333317756653
9,0.5189943909645081,0.5258256196975708,9.999999747378752e-05,0.7892453074455261,0.498694509267807,0.547085165977478,0.6883388757705688
10,0.5156424641609192,0.5225602388381958,9.999999747378752e-05,0.7849079966545105,0.5587467551231384,0.5598374605178833,0.7025739550590515
11,0.4960893988609314,0.501090407371521,9.999999747378752e-05,0.8047505021095276,0.5953002572059631,0.5878083109855652,0.6704616546630859
12,0.5206704139709473,0.5293641090393066,9.999999747378752e-05,0.7862706184387207,0.4960835576057434,0.5453475713729858,0.6835575103759766
13,0.5139665007591248,0.5216416120529175,9.999999747378752e-05,0.7893016338348389,0.5613576769828796,0.5584361553192139,0.6914490461349487
14,0.5139665007591248,0.5185204744338989,9.999999747378752e-05,0.7946832776069641,0.5639686584472656,0.5693806409835815,0.6980454325675964
15,0.5340782403945923,0.5332320332527161,9.999999747378752e-05,0.7692354321479797,0.48302870988845825,0.5109444856643677,0.712212085723877
16,0.5016759634017944,0.5035069584846497,9.999999747378752e-05,0.7943294644355774,0.5796344876289368,0.5452353954315186,0.6947693824768066
17,0.5156424641609192,0.5173031687736511,4.999999873689376e-05,0.7750635743141174,0.5691906213760376,0.5589545965194702,0.69333815574646
18,0.5173184275627136,0.5146737694740295,4.999999873689376e-05,0.7735728621482849,0.4960835576057434,0.5442825555801392,0.6897115111351013
