condition,threshold,accuracy,sensitivity,specificity,ppv,f1_score,roc_auc
Baseline Model + Original Images,0.5,0.6217616580310881,0.24691358024691357,0.8928571428571429,0.625,0.35398230088495575,0.6703042328042328
Baseline Model + ROI Images,0.5,0.5492227979274611,0.43209876543209874,0.6339285714285714,0.4605263157894737,0.445859872611465,0.6046075837742505
Optimized Model + Original Images,0.39,0.47668393782383417,0.9444444444444444,0.13839285714285715,0.4421965317919075,0.6023622047244095,0.6553681657848324
Optimized Model + ROI Images,0.39,0.4792746113989637,0.9506172839506173,0.13839285714285715,0.4438040345821326,0.6051080550098232,0.5836364638447972
