epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.5251396894454956,0.5040602684020996,9.999999747378752e-05,0.6930570602416992,0.582245409488678,0.5,0.6926645040512085
1,0.5050279498100281,0.5149192214012146,9.999999747378752e-05,0.6932511925697327,0.41775456070899963,0.5,0.6931665539741516
2,0.4642457962036133,0.4656955301761627,9.999999747378752e-05,0.6975793242454529,0.582245409488678,0.5,0.6921339631080627
3,0.5195530652999878,0.508267343044281,9.999999747378752e-05,0.693632185459137,0.582245409488678,0.5,0.6908435225486755
4,0.5,0.4918532073497772,9.999999747378752e-05,0.6957389116287231,0.41775456070899963,0.5,0.6961325407028198
5,0.5005586743354797,0.4921269118785858,9.999999747378752e-05,0.6956639885902405,0.41775456070899963,0.5,0.6956581473350525
6,0.505586564540863,0.5149244070053101,9.999999747378752e-05,0.6933576464653015,0.582245409488678,0.5,0.68892502784729
7,0.505586564540863,0.5016352534294128,9.999999747378752e-05,0.6958903670310974,0.41775456070899963,0.5,0.7026646137237549
