Model,Test Loss,Test Accuracy,Test ROC-AUC,F1-Score
ResNet50,0.674210786819458,0.5854922533035278,0.5508708357810974,0.25925925925925924
EfficientNetB0,0.6926758885383606,0.5803108811378479,0.5,0.0
Custom CNN,0.6466066837310791,0.621761679649353,0.6710896492004395,0.35398230088495575
