epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.5272932052612305,0.5434147715568542,0.20171308517456055,0.44392523169517517,0.5107526779174805,0.5615384578704834,0.6486684679985046,0.17552399635314941,0.47999998927116394,0.824999988079071,9.999999747378752e-05
2,0.5717501640319824,0.6043052673339844,0.1821471005678177,0.49008166790008545,0.5645161271095276,0.5897436141967773,0.6419700980186462,0.17431557178497314,0.5,0.8374999761581421,9.999999747378752e-05
3,0.5734384059906006,0.6174448728561401,0.17757673561573029,0.49204546213150024,0.5819892287254333,0.5666666626930237,0.6720788478851318,0.16812023520469666,0.48288974165916443,0.793749988079071,9.999999747378752e-05
4,0.608328640460968,0.6593295335769653,0.16829641163349152,0.5279720425605774,0.6088709831237793,0.6025640964508057,0.6535733342170715,0.16212671995162964,0.5141242742538452,0.5687500238418579,9.999999747378752e-05
5,0.6325267553329468,0.6781753301620483,0.1648213118314743,0.5550181269645691,0.6169354915618896,0.5641025900840759,0.6544564962387085,0.16904625296592712,0.4801587164402008,0.7562500238418579,9.999999747378752e-05
6,0.6319639682769775,0.6889846324920654,0.1611063927412033,0.5523256063461304,0.6384408473968506,0.5846154093742371,0.678804337978363,0.16461782157421112,0.4958677589893341,0.75,9.999999747378752e-05
7,0.6162070631980896,0.6780620813369751,0.16311931610107422,0.5339912176132202,0.6545698642730713,0.6102564334869385,0.671807050704956,0.16252823173999786,0.5180180072784424,0.71875,4.999999873689376e-05
8,0.6589757800102234,0.7172266840934753,0.15686504542827606,0.5777027010917664,0.6895161271095276,0.5871794819831848,0.6725407838821411,0.16282211244106293,0.4977777898311615,0.699999988079071,4.999999873689376e-05
9,0.6325267553329468,0.6963595747947693,0.15881399810314178,0.5515288710594177,0.6545698642730713,0.6000000238418579,0.6736685037612915,0.16191230714321136,0.5093457698822021,0.6812499761581421,2.499999936844688e-05
10,0.6415306925773621,0.7080496549606323,0.1568322777748108,0.5618497133255005,0.6532257795333862,0.6000000238418579,0.6748776435852051,0.16178300976753235,0.5092592835426331,0.6875,2.499999936844688e-05
11,0.6235228180885315,0.6821034550666809,0.1618661731481552,0.541993260383606,0.6505376100540161,0.607692301273346,0.6775271892547607,0.16220058500766754,0.515418529510498,0.731249988079071,2.499999936844688e-05
